"","Bitcoin","BitcoinLMean","BitcoinAMean","BitcoinBMean"
"1",609.67,0,0,0
"2",610.92,0,0,0
"3",608.82,0,0,0
"4",610.38,0,0,0
"5",609.11,593.352832952262,0,0
"6",607.04,544.954854292806,0,0
"7",611.58,680.641526061483,0,0
"8",610.19,648.877667433607,0,0
"9",608.66,614.482930131971,0,0
"10",598.88,326.592225827334,0,0
"11",597.42,293.055165933997,0,0
"12",594.08,469.034283479923,0,0
"13",603.88,870.844776558422,0,0
"14",601.74,911.285769386185,0,0
"15",598.98,609.16647636399,0,0
"16",605.96,645.314307057406,0,0
"17",605.67,590.898998737438,0,0
"18",603.85,661.792305528522,0,0
"19",609.39,666.71080954839,0,0
"20",614.82,730.474161225755,613.555968186825,0
"21",612.98,741.076545954353,612.522177189804,0
"22",611.85,553.055053019931,612.236171608198,0
"23",609.62,379.412235900048,609.987989160689,0
"24",607.18,430.35997286097,607.624774826519,0
"25",612.08,699.308145747299,611.86397610996,0
"26",617.21,860.700756503169,616.274131254981,0
"27",614.74,756.543123213565,613.945892001804,0
"28",615.65,604.30948941621,616.17764665841,0
"29",617.54,531.705031855104,617.054148515052,0
"30",614.77,539.689762303734,614.608874023322,0
"31",635.01,1072.5950063161,628.612185077104,0
"32",635.96,1027.12650421759,629.740172111527,0
"33",634.02,728.7323442864,634.02421641996,0
"34",637.94,527.354358898511,637.828018962017,0
"35",641.42,451.161431583415,640.786446595352,0
"36",638.97,684.359875414069,638.663378403037,0
"37",636.29,537.144969234488,636.718896523208,0
"38",629.25,301.870337968737,629.435027221341,0
"39",627.72,400.003590245321,628.239500610252,0
"40",631.92,719.617474933574,632.027348611488,0
"41",655.48,1377.24852870745,658.075691826958,0
"42",653.25,1247.91451033625,649.153246584255,0
"43",651.39,685.202812229896,651.602092216301,0
"44",655.31,380.172635698584,655.671170323477,0
"45",651.45,276.237601410542,651.036667951241,0
"46",682.22,1369.68696717597,679.564551182755,0
"47",687.68,1416.18580153703,687.263185178994,0
"48",685.91,919.162260327119,685.672224259315,0
"49",698,709.881254525765,698.258583233893,0
"50",702,476.895821712799,701.900001110963,0
"51",697.01,670.069875581843,696.571792089747,0
"52",733.33,1370.80789114665,731.698705529202,0
"53",686.17,117.921324985614,712.508392640798,0
"54",683.69,149.114813640908,689.627209729459,0
"55",704.79,551.476003492869,697.309768811086,0
"56",712,1194.17209181038,704.602635797073,0
"57",709.96,1730.2805416863,709.045323890332,0
"58",708.97,510.066332379703,709.733770949736,0
"59",720.93,539.442334903531,717.092882990881,0
"60",721.5,881.000571211286,718.259504372894,0
"61",715.45,706.331928792099,717.582192329411,0
"62",703.71,211.26606682851,709.415564494064,0
"63",702.28,190.380515986494,705.507531295369,0
"64",706.46,753.554464988561,705.415621600712,0
"65",710.91,1108.05853902218,707.697910169783,0
"66",711.73,1052.63060731543,709.877693219759,0
"67",736.96,1325.55521997249,725.660923526115,0
"68",747.52,1399.52212121611,736.883687690235,0
"69",748.98,1070.72264812825,746.327646098657,0
"70",729.06,102.860904522881,734.947864330717,0
"71",738.53,27.1980742538306,747.040607118718,0
"72",736.97,593.897842150754,731.711432793431,0
"73",741.63,1051.59482653677,742.414812319995,0
"74",737.45,956.905794501369,736.290063326299,0
"75",735.64,498.459389208384,735.797057370633,0
"76",733.67,604.322694095707,733.603674517731,0
"77",727.96,515.883123975853,727.498739662978,0
"78",727.31,668.818897105154,727.537285241719,0
"79",732.71,855.785422120159,733.303844988082,0
"80",742.69,1165.32778659925,743.951242405801,0
"81",742.05,1066.59728039984,741.651137296919,0
"82",772.43,1453.70112243642,773.887360388539,0
"83",764.33,1020.04088676157,770.710635084897,0
"84",762.97,589.786986392046,762.187914302382,0
"85",754.63,188.614494792712,754.837275170631,0
"86",756.62,210.472008173782,755.645122071656,0
"87",758.99,949.162615631151,758.528228687666,0
"88",769.72,1179.11639769978,768.348960913469,0
"89",770.02,1128.60821840519,772.429873373341,0
"90",769.08,761.446370709354,769.242616550466,0
"91",777,787.548596408103,775.990720683278,0
"92",777,758.858081888239,778.478323565777,0
"93",777.99,852.138851524987,777.904699159144,0
"94",774.89,659.657810044857,775.363924617732,0
"95",776.75,631.402094067768,776.002350984213,0
"96",775.88,766.390761623987,776.308979318751,0
"97",788.7,1084.65557324796,787.079528011794,0
"98",788.4,1074.04008278877,791.453649711462,0
"99",788.67,843.61207523314,788.570424534057,0
"100",793.09,777.851703581442,792.360364650805,0
"101",824.21,1409.65688594289,819.893571017378,0
"102",834.97,1751.04780763391,843.41860870938,0
"103",901.31,2745.76359098047,917.817804778061,0
"104",891.61,1724.68367375122,945.761771004893,0
"105",892.6,492.48735311094,889.488560679875,0
"106",897.33,107.70096229517,897.915321093914,0
"107",930.37,798.307418230503,934.413392456329,0
"108",930.34,1791.60786137723,940.762386259026,0
"109",963.38,1834.50002276058,964.977119011072,0
"110",952.15,969.853628771418,965.840837271812,0
"111",958.12,519.525643167859,953.864034070007,0
"112",997.72,1601.55772051331,1001.35297678731,0
"113",1015.97,1862.97166274101,1030.72493576586,0
"114",1013.42,1692.00077800039,1018.09389945858,0
"115",1126.76,3215.30469690228,1129.21480965585,0
"116",994.67,453.277317117429,1093.6201388804,0
"117",999.65,1228.83573394444,993.521937431125,0
"118",896.83,3215.44908977677,921.249732938679,0
"119",908.14,1422.64034975158,867.784103731579,0
"120",910.49,2677.18688281247,913.172842090605,0
"121",906.05,1901.89227069562,907.672274626171,0
"122",785.22,447.462458236846,815.21605840104,0
"123",780.92,2060.58415497262,748.979619879721,0
"124",826.29,1041.04887403376,815.678322708648,0
"125",817.91,2865.0727664221,825.138359268664,0
"126",819.55,2956.52036169061,818.230503077487,0
"127",830.5,661.956204833185,828.109992456512,0
"128",903.84,2133.84787533719,888.709084145068,0
"129",906.6,2676.78483070201,913.962354540792,0
"130",895.798875,1008.50915495107,898.207889519558,0
"131",893.6210875,296.77904894061,893.08639890624,0
"132",895.64,386.792067764326,895.003681784158,0
"133",918.603625,1528.3628251166,913.647541230223,0
"134",922.0736125,1686.67640191628,925.106041241955,0
"135",919.97,1096.22469125461,920.623446980225,0
"136",893.045625,2.3556365266644,893.498750981512,0
"137",915.95625,448.647211868824,923.322523223091,0
"138",915.05,1175.97320124992,909.104338085679,0
"139",920.31225,1467.38204571468,920.799873554538,0
"140",915.933,1122.40596714255,913.054452358301,0
"141",912.19,406.417140277301,914.243662778698,0
"142",964.706075,1997.23854817487,963.928487684716,0
"143",979.703875,2344.42683128696,974.164569218546,0
"144",983.42,1800.62700069558,982.402705699806,0
"145",1013.027,1361.89716281148,1016.48729521241,0
"146",1030.999413,1064.42192709814,1031.13590793993,0
"147",1034.07,1371.03959758753,1033.14482655198,0
"148",1024.01375,604.195388413165,1022.78731678963,0
"149",1050.11,778.247761958446,1052.07469108572,0
"150",1052.84,1273.25361632001,1053.93919697546,0
"151",976.103,476.218333182927,969.404169512318,0
